Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population ages 00-04, male",SP.POP.0004.MA,Africa Western and Central,AFW,37764466,37928705,38116735,38370573,38739675
"Population ages 00-04, male",SP.POP.0004.MA,Afghanistan,AFG,3242702,3311747,3355686,3366274,3400600
"Population ages 00-04, male",SP.POP.0004.MA,Africa Eastern and Southern,AFE,52749440,53883839,55082724,56255769,57315574
"Population ages 00-04, male",SP.POP.0004.MA,Albania,ALB,84990,81477,78407,75642,73461
"Population ages 00-04, male",SP.POP.0004.MA,Algeria,DZA,2570107,2557673,2527644,2481197,2425768
"Population ages 00-04, male",SP.POP.0004.MA,American Samoa,ASM,2321,2242,2139,2038,1943
"Population ages 00-04, male",SP.POP.0004.MA,Andorra,AND,1375,1336,1288,1260,1261
"Population ages 00-04, male",SP.POP.0004.MA,Angola,AGO,2859691,2927720,2996880,3065849,3133179
"Population ages 00-04, male",SP.POP.0004.MA,Antigua and Barbuda,ATG,2663,2650,2667,2698,2741
"Population ages 00-04, male",SP.POP.0004.MA,Arab World,ARB,27590926,27573932,27463372,27482303,27530084
"Population ages 00-04, male",SP.POP.0004.MA,Argentina,ARG,1829105,1730995,1618417,1510159,1408989
"Population ages 00-04, male",SP.POP.0004.MA,Armenia,ARM,102717,99255,96291,94032,92997
"Population ages 00-04, male",SP.POP.0004.MA,Aruba,ABW,3161,3020,2873,2758,2682
"Population ages 00-04, male",SP.POP.0004.MA,Australia,AUS,798440,790849,777395,777727,790397
"Population ages 00-04, male",SP.POP.0004.MA,Austria,AUT,224060,223443,222211,221168,218444
"Population ages 00-04, male",SP.POP.0004.MA,Azerbaijan,AZE,393036,381225,369099,357877,351039
"Population ages 00-04, male",SP.POP.0004.MA,"Bahamas, The",BHS,11713,11384,11178,11083,11049
"Population ages 00-04, male",SP.POP.0004.MA,Bahrain,BHR,53147,51044,49937,48529,48429
"Population ages 00-04, male",SP.POP.0004.MA,Bangladesh,BGD,8085218,8166737,8252715,8349752,8451170
"Population ages 00-04, male",SP.POP.0004.MA,Barbados,BRB,8195,8149,8105,8065,8025
"Population ages 00-04, male",SP.POP.0004.MA,Belarus,BLR,277430,259602,239453,221376,206690
"Population ages 00-04, male",SP.POP.0004.MA,Belgium,BEL,313134,308808,305582,304092,299582
"Population ages 00-04, male",SP.POP.0004.MA,Belize,BLZ,19827,19607,19129,18626,18296
"Population ages 00-04, male",SP.POP.0004.MA,Benin,BEN,1060468,1072625,1082811,1092728,1103866
"Population ages 00-04, male",SP.POP.0004.MA,Bermuda,BMU,1473,1452,1432,1408,1387
"Population ages 00-04, male",SP.POP.0004.MA,Bhutan,BTN,27499,26257,25300,24723,24682
"Population ages 00-04, male",SP.POP.0004.MA,Bolivia,BOL,633768,634074,634711,635669,636685
"Population ages 00-04, male",SP.POP.0004.MA,Bosnia and Herzegovina,BIH,72891,72083,70706,69127,67371
"Population ages 00-04, male",SP.POP.0004.MA,Botswana,BWA,138244,139353,142044,145455,147994
"Population ages 00-04, male",SP.POP.0004.MA,Brazil,BRA,7275580,7179427,7067764,6953091,6816811
"Population ages 00-04, male",SP.POP.0004.MA,British Virgin Islands,VGB,876,867,854,828,832
"Population ages 00-04, male",SP.POP.0004.MA,Brunei Darussalam,BRN,17000,16782,16579,16430,16309
"Population ages 00-04, male",SP.POP.0004.MA,Bulgaria,BGR,166150,163100,159916,154213,150159
"Population ages 00-04, male",SP.POP.0004.MA,Burkina Faso,BFA,1748829,1735448,1718938,1706877,1702177
"Population ages 00-04, male",SP.POP.0004.MA,Burundi,BDI,1077004,1075165,1076435,1082839,1092381
"Population ages 00-04, male",SP.POP.0004.MA,Cabo Verde,CPV,24309,24519,23691,21871,20057
"Population ages 00-04, male",SP.POP.0004.MA,Cambodia,KHM,918860,928125,933152,933433,929095
"Population ages 00-04, male",SP.POP.0004.MA,Cameroon,CMR,2090181,2133275,2166325,2192900,2217520
"Population ages 00-04, male",SP.POP.0004.MA,Canada,CAN,991079,983054,970533,970929,982562
"Population ages 00-04, male",SP.POP.0004.MA,Caribbean small states,CSS,128616,127438,126296,125330,124596
"Population ages 00-04, male",SP.POP.0004.MA,Cayman Islands,CYM,1896,1877,1927,2033,2124
"Population ages 00-04, male",SP.POP.0004.MA,Central African Republic,CAF,459067,464065,475231,470924,473975
"Population ages 00-04, male",SP.POP.0004.MA,Central Europe and the Baltics,CEB,2642965,2629000,2566048,2508377,2439709
"Population ages 00-04, male",SP.POP.0004.MA,Chad,TCD,1612692,1650564,1692588,1740434,1798793
"Population ages 00-04, male",SP.POP.0004.MA,Channel Islands,CHI,3966,3891,3786,3680,3620
"Population ages 00-04, male",SP.POP.0004.MA,Chile,CHL,591112,571963,544395,520415,499497
"Population ages 00-04, male",SP.POP.0004.MA,China,CHN,45006875,42401148,38802141,34407301,30390275
"Population ages 00-04, male",SP.POP.0004.MA,Colombia,COL,1773977,1782802,1795797,1808371,1813138
"Population ages 00-04, male",SP.POP.0004.MA,Comoros,COM,55954,56471,57001,57439,57809
"Population ages 00-04, male",SP.POP.0004.MA,"Congo, Dem. Rep.",COD,8597913,8870290,9147921,9421390,9686801
"Population ages 00-04, male",SP.POP.0004.MA,"Congo, Rep.",COG,431533,433932,437565,441991,447071
"Population ages 00-04, male",SP.POP.0004.MA,Costa Rica,CRI,173567,168206,160782,152916,145088
"Population ages 00-04, male",SP.POP.0004.MA,Cote d'Ivoire,CIV,2285407,2286776,2290251,2297941,2313484
"Population ages 00-04, male",SP.POP.0004.MA,Croatia,HRV,88867,87082,86499,86411,86021
"Population ages 00-04, male",SP.POP.0004.MA,Cuba,CUB,297696,289131,279614,270316,260821
"Population ages 00-04, male",SP.POP.0004.MA,Curacao,CUW,4074,3728,3390,3149,2951
"Population ages 00-04, male",SP.POP.0004.MA,Cyprus,CYP,36902,37276,37596,37888,38164
"Population ages 00-04, male",SP.POP.0004.MA,Czechia,CZE,291652,292182,285763,285846,281381
"Population ages 00-04, male",SP.POP.0004.MA,Denmark,DNK,157478,158745,159533,159742,158634
"Population ages 00-04, male",SP.POP.0004.MA,Djibouti,DJI,58019,57966,57983,58023,58065
"Population ages 00-04, male",SP.POP.0004.MA,Dominica,DMA,2021,1964,1916,1875,1852
"Population ages 00-04, male",SP.POP.0004.MA,Dominican Republic,DOM,523921,522033,519553,516099,511408
"Population ages 00-04, male",SP.POP.0004.MA,Early-demographic dividend,EAR,168200497,167176797,165804670,164741333,163905997
"Population ages 00-04, male",SP.POP.0004.MA,East Asia & Pacific,EAS,80805856,77529334,73121251,67987685,63358876
"Population ages 00-04, male",SP.POP.0004.MA,East Asia & Pacific (excluding high income),EAP,75586267,72502148,68328136,63383809,58892301
"Population ages 00-04, male",SP.POP.0004.MA,East Asia & Pacific (IDA & IBRD countries),TEA,74714543,71625976,67449072,62504236,58014573
"Population ages 00-04, male",SP.POP.0004.MA,Ecuador,ECU,752883,747526,740575,730881,716912
"Population ages 00-04, male",SP.POP.0004.MA,"Egypt, Arab Rep.",EGY,6667542,6481554,6297547,6130515,6036478
"Population ages 00-04, male",SP.POP.0004.MA,El Salvador,SLV,270503,263777,258830,255635,253584
"Population ages 00-04, male",SP.POP.0004.MA,Equatorial Guinea,GNQ,121182,123008,124628,126107,127442
"Population ages 00-04, male",SP.POP.0004.MA,Eritrea,ERI,225786,226120,227750,230210,233258
"Population ages 00-04, male",SP.POP.0004.MA,Estonia,EST,36644,36533,35987,35527,34530
"Population ages 00-04, male",SP.POP.0004.MA,Eswatini,SWZ,71893,71745,71810,71861,71778
"Population ages 00-04, male",SP.POP.0004.MA,Ethiopia,ETH,8801670,9062932,9312869,9542776,9744619
"Population ages 00-04, male",SP.POP.0004.MA,Euro area,EMU,8376891,8264103,8125611,8019073,7894093
"Population ages 00-04, male",SP.POP.0004.MA,Europe & Central Asia,ECS,28287875,27736032,27088404,26475708,25868822
"Population ages 00-04, male",SP.POP.0004.MA,Europe & Central Asia (excluding high income),ECA,10366760,10201313,10038147,9835775,9636347
"Population ages 00-04, male",SP.POP.0004.MA,Europe & Central Asia (IDA & IBRD countries),TEC,16626870,16220049,15769290,15308888,14881337
"Population ages 00-04, male",SP.POP.0004.MA,European Union,EUU,11029686,10907777,10711845,10551934,10359527
"Population ages 00-04, male",SP.POP.0004.MA,Faroe Islands,FRO,1763,1819,1858,1854,1843
"Population ages 00-04, male",SP.POP.0004.MA,Fiji,FJI,45480,44547,43760,43096,42572
"Population ages 00-04, male",SP.POP.0004.MA,Finland,FIN,133968,128546,125306,123000,120652
"Population ages 00-04, male",SP.POP.0004.MA,Fragile and conflict affected situations,FCS,73011215,73828743,74706345,75556290,76504900
"Population ages 00-04, male",SP.POP.0004.MA,France,FRA,1873808,1850096,1817647,1796271,1786154
"Population ages 00-04, male",SP.POP.0004.MA,French Polynesia,PYF,9040,8694,8465,8136,7808
"Population ages 00-04, male",SP.POP.0004.MA,Gabon,GAB,158873,161750,164042,165694,166739
"Population ages 00-04, male",SP.POP.0004.MA,"Gambia, The",GMB,189999,189938,190569,191890,193958
"Population ages 00-04, male",SP.POP.0004.MA,Georgia,GEO,143675,138772,133036,127549,121923
"Population ages 00-04, male",SP.POP.0004.MA,Germany,DEU,2023738,2034121,2033527,2027302,1976513
"Population ages 00-04, male",SP.POP.0004.MA,Ghana,GHA,2134049,2130257,2127862,2132788,2143885
"Population ages 00-04, male",SP.POP.0004.MA,Gibraltar,GIB,1082,1082,1095,1121,1155
"Population ages 00-04, male",SP.POP.0004.MA,Greece,GRC,238511,234127,225360,215488,208076
"Population ages 00-04, male",SP.POP.0004.MA,Greenland,GRL,2100,2128,2139,2129,2110
"Population ages 00-04, male",SP.POP.0004.MA,Grenada,GRD,3716,3625,3568,3558,3552
"Population ages 00-04, male",SP.POP.0004.MA,Guam,GUM,7800,7773,7743,7696,7632
"Population ages 00-04, male",SP.POP.0004.MA,Guatemala,GTM,1022211,1009482,990809,971054,954794
"Population ages 00-04, male",SP.POP.0004.MA,Guinea,GIN,1052521,1069215,1084924,1099695,1114088
"Population ages 00-04, male",SP.POP.0004.MA,Guinea-Bissau,GNB,147103,147528,148231,149339,150757
"Population ages 00-04, male",SP.POP.0004.MA,Guyana,GUY,42169,42200,42269,42240,42081
"Population ages 00-04, male",SP.POP.0004.MA,Haiti,HTI,631817,630891,628939,626506,624122
"Population ages 00-04, male",SP.POP.0004.MA,Heavily indebted poor countries (HIPC),HPC,67182487,68524605,69835642,71061017,72246433
"Population ages 00-04, male",SP.POP.0004.MA,High income,HIC,37720147,36987363,35903251,35152954,34506389
"Population ages 00-04, male",SP.POP.0004.MA,Honduras,HND,565601,570175,574526,578668,582207
"Population ages 00-04, male",SP.POP.0004.MA,"Hong Kong SAR, China",HKG,142646,131614,122861,117966,116825
"Population ages 00-04, male",SP.POP.0004.MA,Hungary,HUN,240579,241084,241275,239068,235291
"Population ages 00-04, male",SP.POP.0004.MA,IBRD only,IBD,..,..,..,..,..
"Population ages 00-04, male",SP.POP.0004.MA,Iceland,ISL,10997,11185,11566,11952,12196
"Population ages 00-04, male",SP.POP.0004.MA,IDA & IBRD total,IBT,322313123,319002741,314440967,309302568,304885233
"Population ages 00-04, male",SP.POP.0004.MA,IDA blend,IDB,..,..,..,..,..
"Population ages 00-04, male",SP.POP.0004.MA,IDA only,IDX,..,..,..,..,..
"Population ages 00-04, male",SP.POP.0004.MA,IDA total,IDA,..,..,..,..,..
"Population ages 00-04, male",SP.POP.0004.MA,India,IND,62332993,61733760,60890054,60141124,59504265
"Population ages 00-04, male",SP.POP.0004.MA,Indonesia,IDN,11906648,11765198,11643063,11546850,11477134
"Population ages 00-04, male",SP.POP.0004.MA,"Iran, Islamic Rep.",IRN,3826950,3670750,3492510,3324901,3180817
"Population ages 00-04, male",SP.POP.0004.MA,Iraq,IRQ,2857572,2824119,2814650,2827197,2850738
"Population ages 00-04, male",SP.POP.0004.MA,Ireland,IRL,160394,157356,154992,154812,153531
"Population ages 00-04, male",SP.POP.0004.MA,Isle of Man,IMN,1935,1842,1782,1763,1754
"Population ages 00-04, male",SP.POP.0004.MA,Israel,ISR,468977,469953,470753,472696,473250
"Population ages 00-04, male",SP.POP.0004.MA,Italy,ITA,1183562,1144426,1107543,1078352,1053694
"Population ages 00-04, male",SP.POP.0004.MA,Jamaica,JAM,89040,87428,86193,85152,84197
"Population ages 00-04, male",SP.POP.0004.MA,Japan,JPN,2451241,2374426,2284807,2203263,2125049
"Population ages 00-04, male",SP.POP.0004.MA,Jordan,JOR,604201,599289,598158,596581,594794
"Population ages 00-04, male",SP.POP.0004.MA,Kazakhstan,KAZ,1040260,1048343,1067640,1085847,1089401
"Population ages 00-04, male",SP.POP.0004.MA,Kenya,KEN,3492851,3494826,3499790,3516006,3544074
"Population ages 00-04, male",SP.POP.0004.MA,Kiribati,KIR,8096,8171,8261,8328,8374
"Population ages 00-04, male",SP.POP.0004.MA,"Korea, Dem. People's Rep.",PRK,873067,877482,880344,880837,878984
"Population ages 00-04, male",SP.POP.0004.MA,"Korea, Rep.",KOR,967287,896706,816496,749830,697033
"Population ages 00-04, male",SP.POP.0004.MA,Kosovo,XKX,61222,58869,57465,56164,55016
"Population ages 00-04, male",SP.POP.0004.MA,Kuwait,KWT,155399,144677,139263,137990,135185
"Population ages 00-04, male",SP.POP.0004.MA,Kyrgyz Republic,KGZ,404016,414131,416769,413399,405912
"Population ages 00-04, male",SP.POP.0004.MA,Lao PDR,LAO,411013,411453,410214,408479,406553
"Population ages 00-04, male",SP.POP.0004.MA,Late-demographic dividend,LTE,76670102,73421612,69106882,64063960,59407960
"Population ages 00-04, male",SP.POP.0004.MA,Latin America & Caribbean,LCN,25760571,25377051,24971674,24588532,24198570
"Population ages 00-04, male",SP.POP.0004.MA,Latin America & Caribbean (excluding high income),LAC,23380385,23093624,22789036,22491560,22166575
"Population ages 00-04, male",SP.POP.0004.MA,Latin America & the Caribbean (IDA & IBRD countries),TLA,25375368,25002948,24611473,24240990,23862208
"Population ages 00-04, male",SP.POP.0004.MA,Latvia,LVA,54327,52191,49632,47292,44861
